id,popularity,budget_adj,original_title,revenue_adj,release_year,vote_count,vote_average,director
135397,32.985763,137999939.28,Jurassic World,1392445892.52,2015,5562,6.5,Colin Trevorrow
76341,28.419936,137999939.28,Mad Max: Fury Road,348161292.489,2015,6185,7.1,George Miller
262500,13.112507,101199955.472,Insurgent,271619025.408,2015,2480,6.3,Robert Schwentke
140607,11.173104,183999919.04,Star Wars: The Force Awakens,1902723129.8,2015,5292,7.5,J.J. Abrams
168259,9.335014,174799923.088,Furious 7,1385748801.47,2015,2947,7.3,James Wan
281957,9.1107,124199945.352,The Revenant,490314247.022,2015,3929,7.2,Alejandro González Iñárritu
87101,8.654359,142599937.256,Terminator Genisys,405355075.684,2015,2598,5.8,Alan Taylor
286217,7.6674,99359956.2816,The Martian,547749654.31,2015,4572,7.6,Ridley Scott
211672,7.404165,68079970.0448,Minions,1064192016.8,2015,2893,6.5,Kyle Balda
150540,6.326804,160999929.16,Inside Out,785411574.699,2015,3935,8.0,Pete Docter
206647,6.200282,225399900.824,Spectre,810220283.783,2015,3254,6.2,Sam Mendes
76757,6.189369,161919931.515,Jupiter Ascending,169268630.682,2015,1937,5.2,Lana Wachowski
264660,6.118847,13799993.928,Ex Machina,33919845.9553,2015,2854,7.6,Alex Garland
257344,5.984995,80959964.3776,Pixels,224146025.096,2015,1575,5.8,Chris Columbus
99861,5.944927,257599886.656,Avengers: Age of Ultron,1292632336.88,2015,4304,7.4,Joss Whedon
273248,5.8984,40479982.1888,The Hateful Eight,143299244.588,2015,2389,7.4,Quentin Tarantino
260346,5.749758,44159980.5696,Taken 3,299709578.208,2015,1578,6.1,Olivier Megaton
102899,5.573184,119599947.376,Ant-Man,477113780.03,2015,3779,7.0,Peyton Reed
150689,5.556818,87399961.544,Cinderella,498963025.216,2015,1495,6.8,Kenneth Branagh
131634,5.476958,147199935.232,The Hunger Games: Mockingjay - Part 2,598481289.508,2015,2380,6.5,Francis Lawrence
158852,5.462138,174799923.088,Tomorrowland,192312729.942,2015,1899,6.2,Brad Bird
307081,5.337064,27599987.856,Southpaw,84373003.7159,2015,1386,7.3,Antoine Fuqua
254128,4.907832,101199955.472,San Andreas,432851374.985,2015,2060,6.1,Brad Peyton
216015,4.710402,36799983.808,Fifty Shades of Grey,524079119.045,2015,1865,5.3,Sam Taylor-Johnson
318846,4.648046,25759988.6656,The Big Short,122678731.541,2015,1545,7.3,Adam McKay
177677,4.566713,137999939.28,Mission: Impossible - Rogue Nation,627743451.673,2015,2349,7.1,Christopher McQuarrie
214756,4.564549,62559972.4736,Ted 2,198594430.138,2015,1666,6.3,Seth MacFarlane
207703,4.503789,74519967.2112,Kingsman: The Secret Service,371497801.661,2015,3833,7.6,Matthew Vaughn
314365,4.062293,18399991.904,Spotlight,81278719.3974,2015,1559,7.8,Tom McCarthy
294254,3.968891,56119975.3072,Maze Runner: The Scorch Trials,286356245.923,2015,1849,6.4,Wes Ball
280996,3.927333,0.0,Mr. Holmes,27006774.877,2015,425,6.4,Bill Condon
198184,3.899557,45079980.1648,Chappie,93903685.2424,2015,1990,6.6,Neill Blomkamp
254470,3.877764,26679988.2608,Pitch Perfect 2,264505582.098,2015,1264,6.8,Elizabeth Banks
296098,3.64821,36799983.808,Bridge of Spies,149601569.335,2015,1638,7.1,Steven Spielberg
257445,3.644541,53359976.5216,Goosebumps,138157089.011,2015,600,6.2,Rob Letterman
264644,3.557846,5519997.5712,Room,32569603.0294,2015,1520,8.0,Lenny Abrahamson
339527,3.358321,0.0,Solace,20566197.1909,2015,474,6.2,Afonso Poyart
105864,3.339135,160999929.16,The Good Dinosaur,305371920.876,2015,1087,6.6,Peter Sohn
241554,3.23737,45999979.76,Run All Night,65836683.5119,2015,814,6.3,Jaume Collet-Serra
